This worksheet contains one table spanning A2 through K661 with row 2 as the header row. The table lists Start Strong Fall 2020 data by district. Note that rows 1 and 2 are frozen.,,,,,,,,,,
AGG Description,AGG Group Description,Assessment Year,District Code,District Name,District Name2,Test Code,Valid Scores,Percent Strong Support May Be Needed (Level 1),Precent Some Support May Be Needed (Level 2),Percent Less Support May Be Needed (Level 3)
District,Total,2020-2021,131390,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,Essex County Schools Of Technology,ALG01,524,21,23,57
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ALG01,350,52,28,20
District,Total,2020-2021,151775,GLOUCESTER COUNTY VOCATIONAL-TECHNICAL SCHOOL DISTRICT,Gloucester County Vocational-Technical School District,ALG01,43,19,23,58
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,ALG01,99,0,10,90
District,Total,2020-2021,171200,EAST NEWARK SCHOOL DISTRICT,East Newark School District,ALG01,*,*,*,*
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ALG01,156,28,24,49
District,Total,2020-2021,175240,UNION CITY SCHOOL DISTRICT,Union City School District,ALG01,*,*,*,*
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ALG01,567,57,22,21
District,Total,2020-2021,233150,MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,Middlesex County Vocational And Technical School District,ALG01,331,51,23,26
District,Total,2020-2021,234920,SOUTH RIVER PUBLIC SCHOOL DISTRICT,South River Public School District,ALG01,19,37,32,32
District,Total,2020-2021,253200,MILLSTONE TOWNSHIP SCHOOL DISTRICT,Millstone Township School District,ALG01,*,*,*,*
District,Total,2020-2021,254365,RED BANK REGIONAL SCHOOL DISTRICT,Red Bank Regional School District,ALG01,236,39,28,33
District,Total,2020-2021,254580,RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL DISTRICT,Rumson-Fair Haven Regional High School District,ALG01,*,*,*,*
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,ALG01,18,6,28,67
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ALG01,176,48,29,23
District,Total,2020-2021,313995,PASSAIC COUNTY VOCATIONAL SCHOOL DISTRICT,Passaic County Vocational School District,ALG01,17,12,18,71
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ALG01,269,47,34,19
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ALG01,217,60,21,19
District,Total,2020-2021,395000,SPRINGFIELD PUBLIC SCHOOL DISTRICT,Springfield Public School District,ALG01,132,45,27,27
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ALG01,565,41,30,28
District,Total,2020-2021,806033,THE BARACK OBAMA GREEN CHARTER HIGH SCHOOL DISTRICT,The Barack Obama Green Charter High School District,ALG01,94,52,22,26
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,ALG01,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ALG01,42,69,24,7
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,ALG01,32,34,53,13
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ALG01,52,67,27,6
District,Total,2020-2021,808060,UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,University Academy Charter High School,ALG01,119,45,27,29
District,Total,2020-2021,030745,CARLSTADT-EAST RUTHERFORD REGIONAL HIGH SCHOOL DISTRICT,Carlstadt-East Rutherford Regional High School District,ALG02,92,43,21,36
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,ALG02,34,6,3,91
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,ALG02,215,19,16,65
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ALG02,212,14,13,73
District,Total,2020-2021,034300,RAMAPO INDIAN HILLS REGIONAL HIGH SCHOOL DISTRICT,Ramapo Indian Hills Regional High School District,ALG02,529,16,16,68
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ALG02,81,9,11,80
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ALG02,240,23,19,58
District,Total,2020-2021,092820,LOWER CAPE MAY REGIONAL SCHOOL DISTRICT,Lower Cape May Regional School District,ALG02,136,15,24,61
District,Total,2020-2021,131390,ESSEX COUNTY SCHOOLS OF TECHNOLOGY,Essex County Schools Of Technology,ALG02,617,15,17,69
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ALG02,280,51,22,27
District,Total,2020-2021,175240,UNION CITY SCHOOL DISTRICT,Union City School District,ALG02,*,*,*,*
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ALG02,404,40,23,37
District,Total,2020-2021,233150,MIDDLESEX COUNTY VOCATIONAL AND TECHNICAL SCHOOL DISTRICT,Middlesex County Vocational And Technical School District,ALG02,156,25,34,41
District,Total,2020-2021,254365,RED BANK REGIONAL SCHOOL DISTRICT,Red Bank Regional School District,ALG02,*,*,*,*
District,Total,2020-2021,313995,PASSAIC COUNTY VOCATIONAL SCHOOL DISTRICT,Passaic County Vocational School District,ALG02,29,93,7,0
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ALG02,247,37,26,37
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ALG02,23,22,26,52
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ALG02,405,27,22,51
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ALG02,*,*,*,*
District,Total,2020-2021,808060,UNIVERSITY ACADEMY CHARTER HIGH SCHOOL,University Academy Charter High School,ALG02,72,57,26,17
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,ELA04,12,50,17,33
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,ELA04,115,15,26,59
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ELA04,207,21,23,57
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ELA04,87,22,18,60
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,ELA04,31,45,23,32
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ELA04,206,38,24,38
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,ELA04,124,15,25,60
District,Total,2020-2021,052850,LUMBERTON TOWNSHIP BOARD OF EDUCATION,Lumberton Township Board Of Education,ELA04,*,*,*,*
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,ELA04,446,26,22,52
District,Total,2020-2021,053650,NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,North Hanover Township School District,ELA04,122,34,22,44
District,Total,2020-2021,054050,PEMBERTON TOWNSHIP SCHOOL DISTRICT,Pemberton Township School District,ELA04,*,*,*,*
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,ELA04,75,28,19,53
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,ELA04,23,43,13,43
District,Total,2020-2021,095610,WEST CAPE MAY SCHOOL DISTRICT,West Cape May School District,ELA04,*,*,*,*
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,ELA04,43,60,23,16
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,ELA04,78,37,29,33
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ELA04,524,67,17,17
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,ELA04,674,39,21,40
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ELA04,127,32,19,49
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ELA04,538,61,21,18
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,ELA04,13,31,15,54
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,ELA04,39,23,31,46
District,Total,2020-2021,218501,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,Office Of Education Department Of Children And Families,ELA04,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,ELA04,12,17,17,67
District,Total,2020-2021,273090,MENDHAM BOROUGH SCHOOL DISTRICT,Mendham Borough School District,ELA04,51,8,27,65
District,Total,2020-2021,273100,MENDHAM TOWNSHIP SCHOOL DISTRICT,Mendham Township School District,ELA04,71,7,15,77
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,ELA04,29,31,38,31
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ELA04,149,37,21,42
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ELA04,224,29,23,48
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,ELA04,18,11,17,72
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,ELA04,31,35,29,35
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,ELA04,22,59,14,27
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ELA04,491,32,25,43
District,Total,2020-2021,806029,NEWARK EDUCATORS COMMUNITY CHARTER SCHOOL,Newark Educators Community Charter School,ELA04,37,70,14,16
District,Total,2020-2021,806058,ROSEVILLE COMMUNITY CHARTER SCHOOL,Roseville Community Charter School,ELA04,53,72,17,11
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,ELA04,39,56,13,31
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,ELA04,26,38,46,15
District,Total,2020-2021,806089,COMPASS ACADEMY CHARTER SCHOOL,Compass Academy Charter School,ELA04,36,53,14,33
District,Total,2020-2021,806102,CRESTHAVEN ACADEMY CHARTER SCHOOL,Cresthaven Academy Charter School,ELA04,78,50,26,24
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ELA04,200,74,13,14
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,ELA04,44,30,23,48
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,ELA04,34,21,12,68
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ELA04,20,50,15,35
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,ELA04,41,59,10,32
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,ELA05,24,29,21,50
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,ELA05,59,25,19,56
District,Total,2020-2021,032620,LEONIA PUBLIC SCHOOL DISTRICT,Leonia Public School District,ELA05,111,19,19,62
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ELA05,191,10,22,68
District,Total,2020-2021,033060,MAYWOOD SCHOOL DISTRICT,Maywood School District,ELA05,*,*,*,*
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ELA05,100,8,31,61
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,ELA05,30,23,27,50
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ELA05,195,22,25,54
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,ELA05,124,5,17,78
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,ELA05,431,13,21,66
District,Total,2020-2021,053650,NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,North Hanover Township School District,ELA05,109,18,19,62
District,Total,2020-2021,054050,PEMBERTON TOWNSHIP SCHOOL DISTRICT,Pemberton Township School District,ELA05,*,*,*,*
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,ELA05,81,20,30,51
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,ELA05,25,44,24,32
District,Total,2020-2021,095610,WEST CAPE MAY SCHOOL DISTRICT,West Cape May School District,ELA05,11,18,9,73
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,ELA05,55,58,13,29
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,ELA05,79,27,28,46
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,ELA05,*,*,*,*
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ELA05,524,60,20,20
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,ELA05,25,40,32,28
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,ELA05,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,ELA05,670,24,29,47
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ELA05,144,24,28,49
District,Total,2020-2021,173610,NORTH BERGEN SCHOOL DISTRICT,North Bergen School District,ELA05,*,*,*,*
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ELA05,555,51,25,24
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,ELA05,*,*,*,*
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,ELA05,28,18,14,68
District,Total,2020-2021,211430,EWING TOWNSHIP SCHOOL DISTRICT,Ewing Township School District,ELA05,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,ELA05,13,31,23,46
District,Total,2020-2021,273090,MENDHAM BOROUGH SCHOOL DISTRICT,Mendham Borough School District,ELA05,51,4,18,78
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,ELA05,38,16,37,47
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ELA05,159,28,26,46
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ELA05,228,19,23,58
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,ELA05,12,8,42,50
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,ELA05,40,15,18,68
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,ELA05,22,36,18,45
District,Total,2020-2021,375030,STANHOPE SCHOOL DISTRICT,Stanhope School District,ELA05,24,25,17,58
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ELA05,200,41,30,30
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ELA05,508,20,28,52
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,ELA05,38,26,29,45
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,ELA05,23,30,39,30
District,Total,2020-2021,806089,COMPASS ACADEMY CHARTER SCHOOL,Compass Academy Charter School,ELA05,33,39,15,45
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,ELA05,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ELA05,85,47,28,25
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,ELA05,45,24,24,51
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,ELA05,35,14,17,69
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ELA05,22,45,14,41
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,ELA05,43,35,30,35
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,ELA06,12,8,25,67
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,ELA06,68,40,21,40
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,ELA06,134,25,20,54
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ELA06,199,22,27,51
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ELA06,94,16,29,55
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,ELA06,29,41,14,45
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ELA06,196,31,27,42
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,ELA06,124,26,32,42
District,Total,2020-2021,050620,BURLINGTON TOWNSHIP SCHOOL DISTRICT,Burlington Township School District,ELA06,*,*,*,*
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,ELA06,465,21,25,54
District,Total,2020-2021,053650,NORTH HANOVER TOWNSHIP SCHOOL DISTRICT,North Hanover Township School District,ELA06,115,23,30,48
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,ELA06,76,28,24,49
District,Total,2020-2021,070940,COLLINGSWOOD PUBLIC SCHOOL DISTRICT,Collingswood Public School District,ELA06,148,34,22,44
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,ELA06,35,46,26,29
District,Total,2020-2021,095610,WEST CAPE MAY SCHOOL DISTRICT,West Cape May School District,ELA06,12,50,0,50
District,Total,2020-2021,111460,FAIRFIELD TOWNSHIP SCHOOL DISTRICT,Fairfield Township School District,ELA06,49,69,20,10
District,Total,2020-2021,115300,UPPER DEERFIELD TOWNSHIP SCHOOL DISTRICT,Upper Deerfield Township School District,ELA06,92,42,33,25
District,Total,2020-2021,131210,EAST ORANGE SCHOOL DISTRICT,East Orange School District,ELA06,13,31,23,46
District,Total,2020-2021,132330,IRVINGTON PUBLIC SCHOOL DISTRICT,Irvington Public School District,ELA06,563,68,16,16
District,Total,2020-2021,133310,MONTCLAIR PUBLIC SCHOOL DISTRICT,Montclair Public School District,ELA06,*,*,*,*
District,Total,2020-2021,133570,NEWARK PUBLIC SCHOOL DISTRICT,Newark Public School District,ELA06,26,35,27,38
District,Total,2020-2021,133880,ORANGE BOARD OF EDUCATION SCHOOL DISTRICT,Orange Board Of Education School District,ELA06,*,*,*,*
District,Total,2020-2021,170220,BAYONNE SCHOOL DISTRICT,Bayonne School District,ELA06,758,31,27,43
District,Total,2020-2021,172060,HARRISON PUBLIC SCHOOLS,Harrison Public Schools,ELA06,143,29,29,43
District,Total,2020-2021,175670,WEST NEW YORK SCHOOL DISTRICT,West New York School District,ELA06,558,46,24,30
District,Total,2020-2021,190430,BLOOMSBURY BOROUGH SCHOOL DISTRICT,Bloomsbury Borough School District,ELA06,*,*,*,*
District,Total,2020-2021,190920,CLINTON TOWNSHIP SCHOOL DISTRICT,Clinton Township School District,ELA06,138,12,23,64
District,Total,2020-2021,192140,HIGH BRIDGE BOROUGH SCHOOL DISTRICT,High Bridge Borough School District,ELA06,39,21,23,56
District,Total,2020-2021,218501,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,Office Of Education Department Of Children And Families,ELA06,*,*,*,*
District,Total,2020-2021,251490,FARMINGDALE PUBLIC SCHOOL DISTRICT,Farmingdale Public School District,ELA06,15,20,13,67
District,Total,2020-2021,273090,MENDHAM BOROUGH SCHOOL DISTRICT,Mendham Borough School District,ELA06,68,19,19,62
District,Total,2020-2021,273410,MOUNT ARLINGTON PUBLIC SCHOOL DISTRICT,Mount Arlington Public School District,ELA06,30,43,23,33
District,Total,2020-2021,312100,HAWTHORNE PUBLIC SCHOOL DISTRICT,Hawthorne Public School District,ELA06,188,29,24,47
District,Total,2020-2021,315650,WEST MILFORD TOWNSHIP PUBLIC SCHOOL DISTRICT,West Milford Township Public School District,ELA06,237,25,32,43
District,Total,2020-2021,332950,MANNINGTON TOWNSHIP SCHOOL DISTRICT,Mannington Township School District,ELA06,20,10,45,45
District,Total,2020-2021,371800,GREEN TOWNSHIP SCHOOL DISTRICT,Green Township School District,ELA06,47,11,23,66
District,Total,2020-2021,371930,HAMBURG SCHOOL DISTRICT,Hamburg School District,ELA06,20,40,20,40
District,Total,2020-2021,392190,HILLSIDE PUBLIC SCHOOL DISTRICT,Hillside Public School District,ELA06,*,*,*,*
District,Total,2020-2021,394160,PLAINFIELD PUBLIC SCHOOL DISTRICT,Plainfield Public School District,ELA06,*,*,*,*
District,Total,2020-2021,394540,ROSELLE PUBLIC SCHOOLS,Roselle Public Schools,ELA06,250,58,23,20
District,Total,2020-2021,395290,TOWNSHIP OF UNION SCHOOL DISTRICT,Township Of Union School District,ELA06,538,28,24,48
District,Total,2020-2021,806076,BENJAMIN BANNEKER PREPARATORY CHARTER SCHOOL,Benjamin Banneker Preparatory Charter School,ELA06,38,32,42,26
District,Total,2020-2021,806079,JOHN P HOLLAND CHARTER SCHOOL,John P Holland Charter School,ELA06,24,29,38,33
District,Total,2020-2021,806099,LINK COMMUNITY CHARTER SCHOOL,Link Community Charter School,ELA06,*,*,*,*
District,Total,2020-2021,807109,LEAP ACADEMY UNIVERSITY CHARTER SCHOOL,Leap Academy University Charter School,ELA06,66,50,26,24
District,Total,2020-2021,807500,PACE CHARTER SCHOOL OF HAMILTON,Pace Charter School Of Hamilton,ELA06,44,18,50,32
District,Total,2020-2021,807890,TEANECK COMMUNITY CHARTER SCHOOL,Teaneck Community Charter School,ELA06,35,9,17,74
District,Total,2020-2021,808010,UNION COUNTY TEAMS CHARTER SCHOOL-HIGH SCHOOL/COLLEGE LA,Union County Teams Charter School-High School/College La,ELA06,45,51,13,36
District,Total,2020-2021,808140,THE VILLAGE CHARTER SCHOOL,The Village Charter School,ELA06,39,46,18,36
District,Total,2020-2021,015760,WEYMOUTH TOWNSHIP SCHOOL DISTRICT,Weymouth Township School District,ELA07,16,25,19,56
District,Total,2020-2021,031230,EAST RUTHERFORD SCHOOL DISTRICT,East Rutherford School District,ELA07,71,28,21,51
District,Total,2020-2021,032080,HASBROUCK HEIGHTS SCHOOL DISTRICT,Hasbrouck Heights School District,ELA07,144,35,22,42
District,Total,2020-2021,032900,MAHWAH TOWNSHIP PUBLIC SCHOOL DISTRICT,Mahwah Township Public School District,ELA07,232,18,29,53
District,Total,2020-2021,034370,RIDGEFIELD SCHOOL DISTRICT,Ridgefield School District,ELA07,131,12,29,59
District,Total,2020-2021,034470,ROCHELLE PARK SCHOOL DISTRICT,Rochelle Park School District,ELA07,19,0,21,79
District,Total,2020-2021,034870,SOUTH HACKENSACK SCHOOL DISTRICT,South Hackensack School District,ELA07,35,23,29,49
District,Total,2020-2021,035150,TEANECK SCHOOL DISTRICT,Teaneck School District,ELA07,206,26,27,47
District,Total,2020-2021,035410,WALDWICK SCHOOL DISTRICT,Waldwick School District,ELA07,118,23,31,47
District,Total,2020-2021,053440,MOUNT LAUREL TOWNSHIP SCHOOL DISTRICT,Mount Laurel Township School District,ELA07,485,18,28,54
District,Total,2020-2021,054930,SOUTHAMPTON TOWNSHIP SCHOOL DISTRICT,Southampton Township School District,ELA07,74,18,31,51
District,Total,2020-2021,075900,WOODLYNNE SCHOOL DISTRICT,Woodlynne School District,ELA07,40,50,18,33
